X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,POINT_X,POINT_Y
-13193719.2822086,4070691.05528108,20605,HSIP Freedom Gnis_admin_featu,1733627,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Open Space,US Geological Survey (USGS) & LA County,O'Melveny Park,,,,,,,,,,22772,,,http://egis3.lacounty.gov/lms/?p=22772,publish,34.3113895,-118.5211968,2014/06/11 10:22:07+00,,,6404283.19131339,1936108.8445939
-13188431.4394388,4072488.06737564,20611,HSIP Freedom Gnis_admin_featu,1732600,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Open Space,US Geological Survey (USGS) & LA County,Stetson Ranch Park,,,,,,,,,,22779,,,http://egis3.lacounty.gov/lms/?p=22779,publish,34.3247222,-118.4736953,2014/06/17 10:56:25+00,,,6418650.09466614,1940889.82289281
-13202955.4492583,4065189.14264904,20639,HSIP Freedom Gnis_admin_featu,2104524,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Open Space,US Geological Survey (USGS) & LA County,Stoney Point Park,,,,,,,,,,22813,,,http://egis3.lacounty.gov/lms/?p=22813,publish,34.2705556,-118.6041667,2014/06/17 10:56:55+00,,,6379139.52145647,1921389.15618557
-13185029.8942788,4063505.80489933,20654,HSIP Freedom Gnis_admin_featu,1732248,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Open Space,US Geological Survey (USGS) & LA County,Devonshire Arleta Park,,,,,,,,,,22829,,,http://egis3.lacounty.gov/lms/?p=22829,publish,34.2580583,-118.4431387,2014/06/10 13:16:46+00,,,6427768.86776714,1916587.76126081
-13193818.5858318,4036685.48053556,20702,HSIP Freedom Gnis_admin_featu,1733135,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Open Space,US Geological Survey (USGS) & LA County,Rivas Canyon Park,,,,,,,,,,22890,,,http://egis3.lacounty.gov/lms/?p=22890,publish,34.05869075,-118.52208886,2014/06/11 10:34:11+00,,,6403536.16984156,1844149.76046781
-13192265.4942357,4038579.59540515,20766,LA City Recreation and Parks,1733143,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,LA City Department Recreation and Parks,Sullivan Canyon Park,"NE of Sullivan Fire Rd (per Alpha; no other addres",,Los Angeles,CA,,,,,,22971,,,http://egis3.lacounty.gov/lms/?p=22971,publish,34.072786,-118.5081372,2014/06/06 17:30:52+00,,,6407787.84637755,1849257.57210256
-13169289.2403738,3990042.33002389,20772,HSIP Freedom Gnis_admin_featu,1702711,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Open Space,US Geological Survey (USGS) & LA County,Point Fermin Park,,,,,,,,,,22978,,,http://egis3.lacounty.gov/lms/?p=22978,publish,33.7108524,-118.301738,2014/06/17 11:16:55+00,,,6469897.41474347,1717289.94135331
-13192791.1781565,4038243.62325144,20810,LA City Recreation and Parks,1733137,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,LA City Department Recreation and Parks,Rustic Canyon Park,"SW of Sullivan Fire Rd; no other address or HSENO",,Los Angeles,CA,,,,,,23023,,,http://egis3.lacounty.gov/lms/?p=23023,publish,34.070286,-118.5128595,2014/06/17 10:46:35+00,,,6406353.13238347,1848355.04897323
-13180081.96557,4046757.83705664,20813,HSIP Freedom Gnis_admin_featu,1732867,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Open Space,US Geological Survey (USGS) & LA County,Wilacre Park,,,,,,,,,,23026,,,http://egis3.lacounty.gov/lms/?p=23026,publish,34.1336183,-118.3986907,2014/06/17 11:15:28+00,,,6441019.84881106,1871245.9034539
-13198118.656316,4038065.54866039,20824,HSIP Freedom Gnis_admin_featu,1733140,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Open Space,US Geological Survey (USGS) & LA County,Santa Ynez Canyon Park,,,,,,,,,,23039,,,http://egis3.lacounty.gov/lms/?p=23039,publish,34.0689609,-118.56071705,2014/06/17 10:48:00+00,,,6391857.14201856,1847950.2256359
-13192667.4466186,4036041.45048419,20904,LA City Recreation and Parks,247665,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,LA City Department Recreation and Parks,Will Rogers State Historic Park,,,,,,,,,,23130,,,http://egis3.lacounty.gov/lms/?p=23130,publish,34.0538976,-118.511748,2014/06/17 11:17:48+00,,,6406659.37849014,1842389.35585214
-13174701.3045866,4043620.40811046,20929,HSIP Freedom Gnis_admin_featu,1732818,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Open Space,US Geological Survey (USGS) & LA County,Runyon Canyon Park,,,,,,,,,,23158,,,http://egis3.lacounty.gov/lms/?p=23158,publish,34.1102863,-118.3503554,2014/06/17 10:45:49+00,,,6455617.26121722,1862700.50945547
-13157325.9573761,4041258.85752443,21289,HSIP Freedom Gnis_admin_featu,1732247,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Open Space,US Geological Survey (USGS) & LA County,Ernest E. Debs Regional Park,,,,,,,,,,23543,,,http://egis3.lacounty.gov/lms/?p=23543,publish,34.09272,-118.19427,2014/06/10 13:23:50+00,,,6502852.09128806,1856179.81941289
-13158064.7180926,4048850.0765246,21305,HSIP Freedom Gnis_admin_featu,1732264,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Open Space,US Geological Survey (USGS) & LA County,Eagle Rock Hillside Park,,,,,,,,,,23560,,,http://egis3.lacounty.gov/lms/?p=23560,publish,34.149174,-118.2009064,2014/06/10 13:19:41+00,,,6500883.88361031,1876728.38395873
-13170338.8451093,3939972.89450074,21392,LA County Department of Beaches and Harbors,247340,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,Catalina Island Chamber of Commerce,Pebbly Beach,,,,,,,http://www.catalinachamber.com/,,,23648,"<a href=""http://www.catalinachamber.com/""> Catalina Island information </a>",,http://egis3.lacounty.gov/lms/?p=23648,publish,33.33588862,-118.31116676,2012/01/05 13:36:23+00,,,6466607.24251805,1580833.24674757
-13198079.2993127,4105784.68855224,21422,HSIP Freedom Gnis_cultural_fe,241958,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Elizabeth Lake Guard Station,,,,,,,,,,23677,,,http://egis3.lacounty.gov/lms/?p=23677,publish,34.5713786,-118.5603635,2010/11/01 19:50:56+00,,,6392983.49836163,2030786.57945064
-13192574.9735228,4123034.09509799,21434,HSIP Freedom Gnis_cultural_fe,247491,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Pine Canyon Ranger Station,,,,,,,,,,23689,,,http://egis3.lacounty.gov/lms/?p=23689,publish,34.6988729,-118.5109173,2010/11/01 19:50:56+00,,,6408104.04325172,2077105.42021173
-13222927.5206888,4120363.08629242,21447,HSIP Freedom Gnis_cultural_fe,254479,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,US Geological Survey (USGS) & LA County,Emigrant Landing,,,,,,,,,,23701,"Emigrant Landing is part of <a href=""http://parks.lacounty.gov/Parkinfo.asp?URL=cms1_141677.asp&amp;Title=Castaic%20Lake%20State%20Recreation%20Area""> Castaic Lake </a>",,http://egis3.lacounty.gov/lms/?p=23701,publish,34.67914369,-118.78357887,2012/01/04 08:38:00+00,,,6326095.62918489,2070453.28423782
-13183885.6634914,4102593.25342555,21455,HSIP Freedom Gnis_cultural_fe,269990,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Bouquet Guard Station,,,,,,,,,,23709,,,http://egis3.lacounty.gov/lms/?p=23709,publish,34.5477685,-118.4328599,2010/11/01 19:50:56+00,,,6431328.76976806,2022004.72791989
-13179618.3199502,4077056.7748664,21487,HSIP Freedom Gnis_cultural_fe,276707,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Bear Divide Station,,,,,,,,,,23741,,,http://egis3.lacounty.gov/lms/?p=23741,publish,34.3586096,-118.3945257,2010/11/01 19:50:56+00,,,6442601.60647431,1953118.7652984
-13186112.1313124,4096250.62256786,21490,HSIP Freedom Gnis_cultural_fe,276560,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Savgus District Ranger Office,,,,,,,,,,23744,,,http://egis3.lacounty.gov/lms/?p=23744,publish,34.5008261,-118.4528606,2010/11/01 19:50:56+00,,,6425229.28984106,2004947.99267648
-13183669.1471496,4119612.17600255,21519,HSIP Freedom Gnis_cultural_fe,1666865,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Pine Canyon County Patrol Station,,,,,,,,,,23773,,,http://egis3.lacounty.gov/lms/?p=23773,publish,34.6735963,-118.4309149,2010/11/01 19:50:56+00,,,6432110.74655056,2067793.92243056
-13179401.7924484,4114049.0724606,21523,HSIP Freedom Gnis_cultural_fe,1655176,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),San Francisquito Ranger Station,,,,,,,,,,23777,,,http://egis3.lacounty.gov/lms/?p=23777,publish,34.632487,-118.3925806,2010/11/01 19:50:56+00,,,6443577.90701513,2052785.96261714
-13204356.7056294,4091336.60281627,21544,HSIP Freedom Gnis_cultural_fe,1682626,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Castaic Forest Patrol Station,,,,,,,,,,23799,,,http://egis3.lacounty.gov/lms/?p=23799,publish,34.4644388,-118.6167544,2010/11/01 19:50:56+00,,,6375769.49866897,1991968.8194879
-13216076.4772345,4109352.63790323,21556,HSIP Freedom Gnis_cultural_fe,275536,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),United States Forest Service Station,,,,,,,,,,23811,,,http://egis3.lacounty.gov/lms/?p=23811,publish,34.5977662,-118.7220349,2010/11/01 19:50:56+00,,,6344385.10835388,2040699.91231422
-13200955.1605398,4137146.45289935,21566,HSIP Freedom Gnis_cultural_fe,238641,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Antelope Station,,,,,,,,,,23821,,,http://egis3.lacounty.gov/lms/?p=23821,publish,34.8030347,-118.5861978,2010/11/01 19:50:56+00,,,6385698.31411314,2115136.30674823
-13179525.5574169,4069006.58960765,21578,HSIP Freedom Gnis_cultural_fe,245112,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Lopez Canyon Forest Station,,,,,,,,,,23833,,,http://egis3.lacounty.gov/lms/?p=23833,publish,34.2988899,-118.3936924,2010/11/01 19:50:56+00,,,6442767.97654839,1931384.82156165
-13175907.540304,4068332.8788892,21582,HSIP Freedom Gnis_cultural_fe,244963,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Little Tujunga Station,,,,,,,,,,23837,,,http://egis3.lacounty.gov/lms/?p=23837,publish,34.2938901,-118.3611912,2010/11/01 19:50:56+00,,,6452577.35489547,1929528.45519565
-13178690.0043569,4016278.37869567,21600,HSIP Freedom Gnis_cultural_fe,241925,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),El Segundo Station,,,,,,,,,,23857,,,http://egis3.lacounty.gov/lms/?p=23857,publish,33.9066806,-118.3861865,2010/11/01 19:50:56+00,,,6444486.51444988,1788644.5036964
-13181350.0281091,4068332.87885642,21610,HSIP Freedom Gnis_cultural_fe,248845,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),San Fernando Ranger Station,,,,,,,,,,23869,,,http://egis3.lacounty.gov/lms/?p=23869,publish,34.2938901,-118.4100819,2010/11/01 19:50:56+00,,,6437810.65017697,1929585.1076414
-13200398.073045,3955413.24699875,21612,LA County Department of Beaches and Harbors,249821,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,Catalina Island Chamber of Commerce,Spring Landing,,,,,,,http://www.catalinachamber.com/,,,23870,"<a href=""http://www.catalinachamber.com/""> Catalina Island information </a>",,http://egis3.lacounty.gov/lms/?p=23870,publish,33.4516928,-118.5811934,2012/01/05 13:22:43+00,,,6384357.06876414,1623346.21388681
-13193895.7825104,3956835.61936224,21616,LA County Department of Beaches and Harbors,253318,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,Catalina Island Chamber of Commerce,Howland Landing,,,,,,"Beaches and Harbors Visitors Center: 424-526-7900 <br>
Beaches and Harbors Main Office: 424-526-7777 <br>",http://www.catalinachamber.com/,http://beaches.lacounty.gov,,23872,"<a href=""http://www.catalinachamber.com/""> Catalina Island information </a>",,http://egis3.lacounty.gov/lms/?p=23872,publish,33.46235297,-118.52278233,2017/07/19 14:18:00+00,info@bh.lacounty.gov,,6402197.40677105,1627128.06393464
-13175907.5403658,4068258.01560858,21626,HSIP Freedom Gnis_cultural_fe,276596,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Little Tujunga Station,,,,,,,,,,23882,,,http://egis3.lacounty.gov/lms/?p=23882,publish,34.2933345,-118.3611912,2010/11/01 19:50:56+00,,,6452576.62819089,1929326.26334281
-13176031.2273965,4068482.57994692,21627,HSIP Freedom Gnis_cultural_fe,276597,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Tujunga District Office,,,,,,,,,,23883,,,http://egis3.lacounty.gov/lms/?p=23883,publish,34.2950011,-118.3623023,2010/11/01 19:50:56+00,,,6452243.22072122,1929933.97374156
-13229558.5921447,4032981.26852298,21635,HSIP Freedom Gnis_cultural_fe,1669877,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Malibu Trading Station,,,,,,,,,,23891,,,http://egis3.lacounty.gov/lms/?p=23891,publish,34.0311187,-118.8431468,2010/11/01 19:50:56+00,,,6306209.43339305,1834776.49181281
-13179524.9227508,3937785.94347891,21639,LA County Department of Beaches and Harbors,1661448,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,Catalina Island Chamber of Commerce,Silver Canyon Landing,,,,,,,http://www.catalinachamber.com/,,,23894,"<a href=""http://www.catalinachamber.com/""> Catalina Island information </a>",,http://egis3.lacounty.gov/lms/?p=23894,publish,33.3194738,-118.3936867,2012/01/05 13:21:29+00,,,6441373.67848396,1574947.32774514
-13176893.3210411,3947747.973163,21642,LA County Department of Beaches and Harbors,1661685,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,Catalina Island Chamber of Commerce,Whites Landing,,,,,,,http://www.catalinachamber.com/,,,23895,"<a href=""http://www.catalinachamber.com/""> Catalina Island information </a>",,http://egis3.lacounty.gov/lms/?p=23895,publish,33.39422177,-118.37004662,2012/01/05 13:35:46+00,,,6448697.36560822,1602124.83999106
-13189277.3138722,3944262.92189547,21682,LA County Department of Beaches and Harbors,1661030,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,Catalina Island Chamber of Commerce,Mills Landing,,,,,,"City of Avalon: 310-510-0220 <br>
Beaches and Harbors Visitors Center: 424-526-7900 <br>
Beaches and Harbors Main Office: 424-526-7777 <br>",http://www.catalinachamber.com/,,,23938,"<a href=""http://www.cityofavalon.com/""> Catalina Island information </a>",,http://egis3.lacounty.gov/lms/?p=23938,publish,33.36807973,-118.48129392,2017/07/18 17:22:40+00,,,6414688.91590872,1592754.22356173
-13171864.0032846,3941026.88910243,21839,LA County Department of Beaches and Harbors,1763262,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,Catalina Island Chamber of Commerce,Green Pleasure Pier,,,,,,"City of Avalon: 310-510-0220 <br>
Beaches and Harbors Visitors Center: 424-526-7900 <br>
Beaches and Harbors Main Office: 424-526-7777 <br>",http://www.catalinachamber.com/,,,24096,"<a href=""http://www.cityofavalon.com/""> Catalina Island information </a>",,http://egis3.lacounty.gov/lms/?p=24096,publish,33.34379859,-118.32486749,2017/07/18 17:39:36+00,,,6462430.91556889,1583725.38532023
-13144241.8985802,4023396.77707759,21888,HSIP Freedom Gnis_cultural_fe,245179,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Los Nietos Station,,,,,,,,,,24145,,,http://egis3.lacounty.gov/lms/?p=24145,publish,33.9597356,-118.0767339,2010/11/01 19:50:56+00,,,6538401.00247355,1807736.17843948
-13160631.0998555,4018514.2762472,21894,HSIP Freedom Gnis_cultural_fe,245320,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Lynwood Station,,,,,,,,,,24151,,,http://egis3.lacounty.gov/lms/?p=24151,publish,33.9233488,-118.2239606,2010/11/01 19:50:56+00,,,6493725.48749405,1794561.02860872
-13140840.4090695,4025932.09473202,22034,HSIP Freedom Gnis_cultural_fe,242476,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Freight Station,,,,,,,,,,24292,,,http://egis3.lacounty.gov/lms/?p=24292,publish,33.9786239,-118.0461778,2010/11/01 19:50:56+00,,,6547670.20604797,1814604.36713089
-13143376.1668673,4032720.61435862,22045,HSIP Freedom Gnis_cultural_fe,249527,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Site Of Mission Vieja Station,,,,,,,,,,24302,,,http://egis3.lacounty.gov/lms/?p=24302,publish,34.0291782,-118.0689569,2010/11/01 19:50:56+00,,,6540776.68997939,1833006.06064239
-13147427.1945122,4063468.3623345,22057,HSIP Freedom Gnis_cultural_fe,248031,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Red Box Station,,,,,,,,,,24314,,,http://egis3.lacounty.gov/lms/?p=24314,publish,34.2577803,-118.1053479,2010/11/01 19:50:56+00,,,6529837.5658603,1916208.11930355
-13141211.6150817,4061897.18799878,22075,HSIP Freedom Gnis_cultural_fe,251353,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),West Fork Station,,,,,,,,,,24333,,,http://egis3.lacounty.gov/lms/?p=24333,publish,34.246114,-118.0495124,2010/11/01 19:50:56+00,,,6546707.17122863,1911949.54579973
-13160940.6904935,4067359.80297522,22076,HSIP Freedom Gnis_cultural_fe,269856,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Big Tujunga Station,,,,,,,,,,24334,,,http://egis3.lacounty.gov/lms/?p=24334,publish,34.2866681,-118.2267417,2010/11/01 19:50:56+00,,,6493180.00958239,1926781.48299931
-13156302.1631201,4060288.87994894,22077,HSIP Freedom Gnis_cultural_fe,269536,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Angeles Crest Station,,,,,,,,,,24335,,,http://egis3.lacounty.gov/lms/?p=24335,publish,34.2341703,-118.1850731,2010/11/01 19:50:56+00,,,6505731.36768173,1907650.82736306
-13152869.7046026,4065189.41210888,22086,HSIP Freedom Gnis_cultural_fe,270496,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Ranger Stations,US Geological Survey (USGS),Clear Creek Station,,,,,,,,,,24344,,,http://egis3.lacounty.gov/lms/?p=24344,publish,34.2705576,-118.1542388,2010/11/01 19:50:56+00,,,6515071.44742672,1920877.08142231
